Country,Total_Subscribers,Total_Video_Views
Afghanistan,20400000,13397000296
Andorra,15100000,2400037562
Argentina,328500000,194415353954
Australia,172000000,69141812396
Bangladesh,13900000,12129583055
Barbados,41900000,22477745835
Brazil,1221800000,481208974267
Canada,363900000,191320574087
Chile,87200000,29347556577
China,17600000,2977741577
Colombia,264500000,154197807651
Cuba,46300000,22936630813
Ecuador,27700000,5492461363
Egypt,30600000,9824740566
El Salvador,46100000,10323391593
Finland,13200000,2036408398
France,83900000,30557640065
Germany,116400000,54232247240
India,4310600000,2281048375204
Indonesia,534100000,151010669055
Iraq,30200000,17007652162
Italy,39400000,19894897856
Japan,189100000,85682017434
Jordan,67000000,53090079884
Kuwait,30500000,4521573939
Latvia,20200000,20919403720
Malaysia,17700000,9059696049
Mexico,626900000,198219932123
Morocco,14500000,4315486422
Netherlands,58100000,23866285774
Pakistan,155400000,113293417419
Peru,14400000,1629801448
Philippines,240100000,129128043889
Russia,407200000,232996328527
Samoa,13100000,6637820731
Saudi Arabia,179100000,79666984516
Singapore,59700000,28978903929
South Korea,481700000,225591685416
Spain,385100000,132520734399
Sweden,63000000,20036902050
Switzerland,19400000,5529131886
Thailand,386500000,264317974741
Turkey,91600000,92399244760
Ukraine,125600000,58465331234
United Arab Emirates,148200000,75320613402
United Kingdom,917400000,430566531608
United States,7329500000,3690291816959
Venezuela,31200000,9673649438
Vietnam,47800000,25088312556
nan,2922200000,1185152360953
